;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Volume_mm3
0;14.8;3700;240;228.1666667;333.0;20535.0;150552
1;7.4;500;30;123.3333333;25.0;6166.666667;14310
2;11.1;500;44;126.1363636;25.0;6306.818182;20670
3;7.4;750;39;142.3076923;37.5;7115.384615;20460
4;11.1;750;57;146.0526316;37.5;7302.631579;30690
5;7.4;910;47;143.2765957;45.5;7163.829787;23075
6;7.4;1350;61;163.7704918;67.5;8188.52459;30056
7;11.1;1350;94;159.4148936;67.5;7970.744681;46240
8;7.4;1350;64;156.09375;67.5;7804.6875;30056
9;11.1;1350;95;157.7368421;67.5;7886.842105;46240
10;11.1;2200;151;161.7218543;110.0;8086.092715;74970
11;14.8;2200;197;165.2791878;110.0;8263.959391;96390
12;7.4;2800;123;168.4552846;140.0;8422.764228;58956
13;11.1;2800;181;171.7127072;140.0;8585.635359;83232
14;11.1;2800;181;171.7127072;140.0;8585.635359;83232
15;11.1;2800;181;171.7127072;140.0;8585.635359;83232
16;14.8;2800;234;177.0940171;140.0;8854.700855;110976
17;22.2;2800;351;177.0940171;140.0;8854.700855;166464
18;22.2;3400;478;157.9079498;170.0;7895.39749;220590
19;22.2;3400;488;154.6721311;170.0;7733.606557;221407
20;29.6;3400;611;164.7135843;170.0;8235.679214;290250
21;7.4;4000;156;189.7435897;200.0;9487.179487;79560
22;18.5;4000;435;170.1149425;200.0;8505.747126;185640
23;22.2;4000;536;165.6716418;200.0;8283.58209;222768
24;25.9;4000;614;168.7296417;200.0;8436.482085;259896
25;29.6;4000;702;168.6609687;200.0;8433.048433;297024
26;29.6;4000;712;166.2921348;200.0;8314.606742;297024
27;33.3;4000;790;168.6075949;200.0;8430.379747;328848
28;37.0;4000;877;168.7571266;200.0;8437.856328;371280
29;37.0;4000;887;166.854566;200.0;8342.728298;371280
30;22.2;4000;536;165.6716418;200.0;8283.58209;222768
31;7.4;4400;205;158.8292683;220.0;7941.463415;93568
32;22.2;4400;601;162.5291181;220.0;8126.455907;280704
33;25.9;4400;701;162.5677603;220.0;8128.388017;321640
34;37.0;4400;994;163.7826962;220.0;8189.134809;456144
35;11.1;5000;349;159.025788;250.0;7951.289398;163744
36;14.8;5000;465;159.1397849;250.0;7956.989247;216376
37;18.5;5000;574;161.1498258;250.0;8057.491289;269008
38;33.3;5000;1046;159.1778203;250.0;7958.891013;479536
39;37.0;5000;1162;159.2082616;250.0;7960.413081;538016
40;37.0;5000;1172;157.8498294;250.0;7892.491468;538016
41;11.1;6000;372;179.0322581;300.0;8951.612903;176904
42;14.8;6000;490;181.2244898;300.0;9061.22449;229320
43;18.5;6000;638;173.9811912;300.0;8699.059561;281736
44;22.2;6000;743;179.2732167;300.0;8963.660834;340704
45;11.1;6800;484;155.9504132;340.0;7797.520661;225492
46;22.2;6800;907;166.4388093;340.0;8321.940463;445050
47;7.4;8000;350;169.1428571;400.0;8457.142857;167356
48;11.1;8000;526;168.8212928;400.0;8441.064639;251034
49;14.8;8000;701;168.9015692;400.0;8445.078459;334712
50;18.5;8000;859;172.2933644;400.0;8614.668219;418390
51;3.7;325;12;100.2083333;45.5;14029.16667;5625
52;7.4;325;23;104.5652174;45.5;14639.13043;12375
0;14.8;7400;480;228.1666667;666.0;20535.0;301104
1;7.4;1000;60;123.3333333;50.0;6166.666667;28620
2;11.1;1000;88;126.1363636;50.0;6306.818182;41340
3;7.4;1500;78;142.3076923;75.0;7115.384615;40920
4;11.1;1500;114;146.0526316;75.0;7302.631579;61380
5;7.4;1820;94;143.2765957;91.0;7163.829787;46150
6;7.4;2700;122;163.7704918;135.0;8188.52459;60112
7;11.1;2700;188;159.4148936;135.0;7970.744681;92480
8;7.4;2700;128;156.09375;135.0;7804.6875;60112
9;11.1;2700;190;157.7368421;135.0;7886.842105;92480
10;11.1;4400;302;161.7218543;220.0;8086.092715;149940
11;14.8;4400;394;165.2791878;220.0;8263.959391;192780
12;7.4;5600;246;168.4552846;280.0;8422.764228;117912
13;11.1;5600;362;171.7127072;280.0;8585.635359;166464
14;11.1;5600;362;171.7127072;280.0;8585.635359;166464
15;11.1;5600;362;171.7127072;280.0;8585.635359;166464
16;14.8;5600;468;177.0940171;280.0;8854.700855;221952
17;22.2;5600;702;177.0940171;280.0;8854.700855;332928
18;22.2;6800;956;157.9079498;340.0;7895.39749;441180
19;22.2;6800;976;154.6721311;340.0;7733.606557;442814
20;29.6;6800;1222;164.7135843;340.0;8235.679214;580500
21;7.4;8000;312;189.7435897;400.0;9487.179487;159120
22;18.5;8000;870;170.1149425;400.0;8505.747126;371280
23;22.2;8000;1072;165.6716418;400.0;8283.58209;445536
24;25.9;8000;1228;168.7296417;400.0;8436.482085;519792
25;29.6;8000;1404;168.6609687;400.0;8433.048433;594048
26;29.6;8000;1424;166.2921348;400.0;8314.606742;594048
27;33.3;8000;1580;168.6075949;400.0;8430.379747;657696
28;37.0;8000;1754;168.7571266;400.0;8437.856328;742560
29;37.0;8000;1774;166.854566;400.0;8342.728298;742560
30;22.2;8000;1072;165.6716418;400.0;8283.58209;445536
31;7.4;8800;410;158.8292683;440.0;7941.463415;187136
32;22.2;8800;1202;162.5291181;440.0;8126.455907;561408
33;25.9;8800;1402;162.5677603;440.0;8128.388017;643280
34;37.0;8800;1988;163.7826962;440.0;8189.134809;912288
35;11.1;10000;698;159.025788;500.0;7951.289398;327488
36;14.8;10000;930;159.1397849;500.0;7956.989247;432752
37;18.5;10000;1148;161.1498258;500.0;8057.491289;538016
38;33.3;10000;2092;159.1778203;500.0;7958.891013;959072
39;37.0;10000;2324;159.2082616;500.0;7960.413081;1076032
40;37.0;10000;2344;157.8498294;500.0;7892.491468;1076032
41;11.1;12000;744;179.0322581;600.0;8951.612903;353808
42;14.8;12000;980;181.2244898;600.0;9061.22449;458640
43;18.5;12000;1276;173.9811912;600.0;8699.059561;563472
44;22.2;12000;1486;179.2732167;600.0;8963.660834;681408
45;11.1;13600;968;155.9504132;680.0;7797.520661;450984
46;22.2;13600;1814;166.4388093;680.0;8321.940463;890100
47;7.4;16000;700;169.1428571;800.0;8457.142857;334712
48;11.1;16000;1052;168.8212928;800.0;8441.064639;502068
49;14.8;16000;1402;168.9015692;800.0;8445.078459;669424
50;18.5;16000;1718;172.2933644;800.0;8614.668219;836780
51;3.7;650;24;100.2083333;91.0;14029.16667;11250
52;7.4;650;46;104.5652174;91.0;14639.13043;24750
0;14.8;11100;720;228.1666667;999.0;20535.0;451656
1;7.4;1500;90;123.3333333;75.0;6166.666667;42930
2;11.1;1500;132;126.1363636;75.0;6306.818182;62010
3;7.4;2250;117;142.3076923;112.5;7115.384615;61380
4;11.1;2250;171;146.0526316;112.5;7302.631579;92070
5;7.4;2730;141;143.2765957;136.5;7163.829787;69225
6;7.4;4050;183;163.7704918;202.5;8188.52459;90168
7;11.1;4050;282;159.4148936;202.5;7970.744681;138720
8;7.4;4050;192;156.09375;202.5;7804.6875;90168
9;11.1;4050;285;157.7368421;202.5;7886.842105;138720
10;11.1;6600;453;161.7218543;330.0;8086.092715;224910
11;14.8;6600;591;165.2791878;330.0;8263.959391;289170
12;7.4;8400;369;168.4552846;420.0;8422.764228;176868
13;11.1;8400;543;171.7127072;420.0;8585.635359;249696
14;11.1;8400;543;171.7127072;420.0;8585.635359;249696
