TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Energy_J
TATTU;TATTU;11.1;1300;45;90;119;58.5;59616;121.2605042;117;10913.44538;242049.1143;51948
TATTU;TATTU;11.1;1550;45;90;128;69.75;63648;134.4140625;139.5;12097.26563;270314.8567;61938
TATTU;TATTU;11.1;1800;45;90;156;81;64032;128.0769231;162;11526.92308;312031.4843;71928
TATTU;TATTU;11.1;2300;45;90;179;103.5;76230;142.6256983;207;12836.31285;334907.5167;91908
TATTU;TATTU;11.1;1050;45;90;85;47.25;44676;137.1176471;94.5;12340.58824;260878.3239;41958
TATTU;TATTU;14.8;1050;45;90;120;47.25;61320;129.5;94.5;11655;253424.6575;55944
TATTU;TATTU;14.8;1500;45;90;178;67.5;84388;124.7191011;135;11224.7191;263070.5788;79920
TATTU;TATTU;14.8;1800;45;90;202;81;86304;131.8811881;162;11869.30693;308676.307;95904
TATTU;TATTU;14.8;2300;45;90;224;103.5;100638.8951;151.9642857;207;13676.78571;338239.0076;122544
TATTU;TATTU;14.8;3700;45;90;240;166.5;150552;228.1666667;333;20535;363728.1471;197136
TATTU;TATTU;14.8;1300;45;90;154;58.5;65408;124.9350649;117;11244.15584;294153.6204;69264
GENS ACE;GENS ACE;22.2;3300;60;120;506;198;253176;144.7826087;396;17373.91304;289363.9208;263736
GENS ACE;GENS ACE;22.2;4000;60;120;636;240;298461.9463;139.6226415;480;16754.71698;297525.3666;319680
GENS ACE;GENS ACE;22.2;5000;60;120;755;300;357239.0874;147.0198675;600;17642.38411;310716.2791;399600
GENS ACE;GENS ACE;22.2;5500;60;120;828;330;317814;147.4637681;660;17695.65217;384186.9773;439560
GENS ACE;GENS ACE;22.2;6200;60;120;876;372;403425;157.1232877;744;18854.79452;341178.6577;495504
KOKAM;KOKAM SLPB526495;3.7;3300;2;3;67;;33262.65;182.238806;9.9;546.7164179;367078.3897;43956
KOKAM;KOKAM SLPB050106100;3.7;5000;2;5;120;;64392.6;154.1666667;25;770.8333333;287300.0935;66600
KOKAM;KOKAM SLPB776495;3.7;5300;2;3;102;;48046.05;192.254902;15.9;576.7647059;408150.0977;70596
KOKAM;KOKAM SLPB68106100;3.7;8000;2;3;160;;79126.5;185;24;555;374084.5355;106560
KOKAM;KOKAM SLPB7570180;3.7;9600;2;3;215;;114045.6;165.2093023;28.8;495.627907;311454.3656;127872
KOKAM;KOKAM SLPB98106100;3.7;10000;2;3;210;;109140;176.1904762;30;528.5714286;339014.1103;133200
KOKAM;KOKAM SLPB7570270;3.7;15000;2;3;317;;171740.8;175.0788644;45;525.2365931;323161.4153;199800
KOKAM;KOKAM SLPB125255255;3.7;87000;2;3;1780;;923260;180.8426966;261;542.5280899;348655.8499;1158840
KOKAM;KOKAM SLPB70460330;3.7;100000;2;3;2070;;1057518;178.7439614;300;536.2318841;349875.8414;1332000
KOKAM;KOKAM SLPB120460330;3.7;150000;2;3;3210;;1586277;172.8971963;450;518.6915888;349875.8414;1998000
KOKAM;KOKAM SLPB140460330;3.7;200000;2;3;4180;;2099928.6;177.0334928;600;531.1004785;352392.9337;2664000
KOKAM;KOKAM SLPB160460330H;3.7;200000;2;3;4580;;2235895.2;161.5720524;600;484.7161572;330963.6337;2664000
KOKAM;KOKAM SLPB160460330;3.7;240000;2;3;4780;;2386969.2;185.7740586;720;557.3221757;372019.8819;3196800
ProLiteX;TP500-2SPX25J;7.4;500;25;50;30;25;14310;123.3333333;25;6166.666667;258560.4472;13320
ProLiteX;TP500-3SPX25J;11.1;500;25;50;44;25;20670;126.1363636;25;6306.818182;268505.0798;19980
