;Unnamed: 0;Voltage_V;Capacity_mAh;Capacity_As;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Weight_kg;Volume_cm3;Energy_kJ;n_series;n_parallel
0;9;14.8;3700;13320;228.1666667;333;20535;0.24;150.552;197.136;1;1
1;29;7.4;500;1800;123.3333333;25;6166.666667;0.03;14.31;13.32;1;1
3;31;7.4;750;2700;142.3076923;37.5;7115.384615;0.039;20.46;19.98;1;1
4;32;11.1;750;2700;146.0526316;37.5;7302.631579;0.057;30.69;29.97;1;1
5;33;7.4;910;3276;143.2765957;45.5;7163.829787;0.047;23.075;24.2424;1;1
6;35;7.4;1350;4860;163.7704918;67.5;8188.52459;0.061;30.056;35.964;1;1
7;36;11.1;1350;4860;159.4148936;67.5;7970.744681;0.094;46.24;53.946;1;1
10;42;11.1;2200;7920;161.7218543;110;8086.092715;0.151;74.97;87.912;1;1
11;43;14.8;2200;7920;165.2791878;110;8263.959391;0.197;96.39;117.216;1;1
12;44;7.4;2800;10080;168.4552846;140;8422.764228;0.123;58.956;74.592;1;1
13;45;11.1;2800;10080;171.7127072;140;8585.635359;0.181;83.232;111.888;1;1
14;46;11.1;2800;10080;171.7127072;140;8585.635359;0.181;83.232;111.888;1;1
15;47;11.1;2800;10080;171.7127072;140;8585.635359;0.181;83.232;111.888;1;1
16;48;14.8;2800;10080;177.0940171;140;8854.700855;0.234;110.976;149.184;1;1
17;50;22.2;2800;10080;177.0940171;140;8854.700855;0.351;166.464;223.776;1;1
21;60;7.4;4000;14400;189.7435897;200;9487.179487;0.156;79.56;106.56;1;1
22;63;18.5;4000;14400;170.1149425;200;8505.747126;0.435;185.64;266.4;1;1
41;94;11.1;6000;21600;179.0322581;300;8951.612903;0.372;176.904;239.76;1;1
51;107;3.7;325;1170;100.2083333;45.5;14029.16667;0.012;5.625;4.329;1;1
52;108;7.4;325;1170;104.5652174;45.5;14639.13043;0.023;12.375;8.658;1;1
53;9;14.8;7400;26640;228.1666667;666;20535;0.48;301.104;394.272;1;2
56;31;7.4;1500;5400;142.3076923;75;7115.384615;0.078;40.92;39.96;1;2
57;32;11.1;1500;5400;146.0526316;75;7302.631579;0.114;61.38;59.94;1;2
58;33;7.4;1820;6552;143.2765957;91;7163.829787;0.094;46.15;48.4848;1;2
59;35;7.4;2700;9720;163.7704918;135;8188.52459;0.122;60.112;71.928;1;2
70;50;22.2;5600;20160;177.0940171;280;8854.700855;0.702;332.928;447.552;1;2
74;60;7.4;8000;28800;189.7435897;400;9487.179487;0.312;159.12;213.12;1;2
106;9;14.8;11100;39960;228.1666667;999;20535;0.72;451.656;591.408;1;3
127;60;7.4;12000;43200;189.7435897;600;9487.179487;0.468;238.68;319.68;1;3
159;9;14.8;14800;53280;228.1666667;1332;20535;0.96;602.208;788.544;1;4
163;32;11.1;3000;10800;146.0526316;150;7302.631579;0.228;122.76;119.88;1;4
175;48;14.8;11200;40320;177.0940171;560;8854.700855;0.936;443.904;596.736;1;4
180;60;7.4;16000;57600;189.7435897;800;9487.179487;0.624;318.24;426.24;1;4
212;9;14.8;18500;66600;228.1666667;1665;20535;1.2;752.76;985.68;1;5
265;9;14.8;22200;79920;228.1666667;1998;20535;1.44;903.312;1182.816;1;6
286;60;7.4;24000;86400;189.7435897;1200;9487.179487;0.936;477.36;639.36;1;6
318;9;14.8;25900;93240;228.1666667;2331;20535;1.68;1053.864;1379.952;1;7
324;35;7.4;9450;34020;163.7704918;472.5;8188.52459;0.427;210.392;251.748;1;7
371;9;14.8;29600;106560;228.1666667;2664;20535;1.92;1204.416;1577.088;1;8
424;9;14.8;33300;119880;228.1666667;2997;20535;2.16;1354.968;1774.224;1;9
477;9;14.8;37000;133200;228.1666667;3330;20535;2.4;1505.52;1971.36;1;10
530;9;14.8;40700;146520;228.1666667;3663;20535;2.64;1656.072;2168.496;1;11
583;9;14.8;44400;159840;228.1666667;3996;20535;2.88;1806.624;2365.632;1;12
636;9;14.8;48100;173160;228.1666667;4329;20535;3.12;1957.176;2562.768;1;13
689;9;14.8;51800;186480;228.1666667;4662;20535;3.36;2107.728;2759.904;1;14
742;9;14.8;55500;199800;228.1666667;4995;20535;3.6;2258.28;2957.04;1;15
795;9;14.8;59200;213120;228.1666667;5328;20535;3.84;2408.832;3154.176;1;16
848;9;14.8;62900;226440;228.1666667;5661;20535;4.08;2559.384;3351.312;1;17
901;9;14.8;66600;239760;228.1666667;5994;20535;4.32;2709.936;3548.448;1;18
954;9;14.8;70300;253080;228.1666667;6327;20535;4.56;2860.488;3745.584;1;19
1007;9;14.8;74000;266400;228.1666667;6660;20535;4.8;3011.04;3942.72;1;20
1060;9;14.8;77700;279720;228.1666667;6993;20535;5.04;3161.592;4139.856;1;21
1113;9;14.8;81400;293040;228.1666667;7326;20535;5.28;3312.144;4336.992;1;22
1166;9;14.8;85100;306360;228.1666667;7659;20535;5.52;3462.696;4534.128;1;23
1219;9;14.8;88800;319680;228.1666667;7992;20535;5.76;3613.248;4731.264;1;24
1272;9;14.8;92500;333000;228.1666667;8325;20535;6;3763.8;4928.4;1;25
1325;9;14.8;96200;346320;228.1666667;8658;20535;6.24;3914.352;5125.536;1;26
1378;9;14.8;99900;359640;228.1666667;8991;20535;6.48;4064.904;5322.672;1;27
