;TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Pvol_Wh_m3;Energy_J;Dominated
9;TATTU;TATTU;14.8;3700;45;90;240;166.5;150552.0;228.16666669999998;333.0;20535.0;363728.1471;197136.0;0
16;KOKAM;KOKAM SLPB526495;3.7;3300;2;3;67;;33262.65;182.238806;9.9;546.7164179;367078.3897;43956.0;0
18;KOKAM;KOKAM SLPB776495;3.7;5300;2;3;102;;48046.05;192.25490200000002;15.9;576.7647059;408150.0977;70596.0;0
19;KOKAM;KOKAM SLPB68106100;3.7;8000;2;3;160;;79126.5;185.0;24.0;555.0;374084.5355;106560.0;0
21;KOKAM;KOKAM SLPB98106100;3.7;10000;2;3;210;;109140.0;176.19047619999998;30.0;528.5714286;339014.1103;133200.0;0
22;KOKAM;KOKAM SLPB7570270;3.7;15000;2;3;317;;171740.8;175.07886440000001;45.0;525.2365930999999;323161.4153;199800.0;0
23;KOKAM;KOKAM SLPB125255255;3.7;87000;2;3;1780;;923260.0;180.8426966;261.0;542.5280899;348655.8499;1158840.0;0
24;KOKAM;KOKAM SLPB70460330;3.7;100000;2;3;2070;;1057518.0;178.74396140000002;300.0;536.2318841;349875.8414;1332000.0;0
25;KOKAM;KOKAM SLPB120460330;3.7;150000;2;3;3210;;1586277.0;172.89719630000002;450.0;518.6915888;349875.8414;1998000.0;0
26;KOKAM;KOKAM SLPB140460330;3.7;200000;2;3;4180;;2099928.6;177.0334928;600.0;531.1004785;352392.9337;2664000.0;0
27;KOKAM;KOKAM SLPB160460330H;3.7;200000;2;3;4580;;2235895.2;161.5720524;600.0;484.7161572;330963.6337;2664000.0;0
28;KOKAM;KOKAM SLPB160460330;3.7;240000;2;3;4780;;2386969.2;185.7740586;720.0;557.3221757;372019.8819;3196800.0;0
29;ProLiteX;TP500-2SPX25J;7.4;500;25;50;30;25.0;14310.0;123.33333329999999;25.0;6166.666667;258560.4472;13320.0;0
30;ProLiteX;TP500-3SPX25J;11.1;500;25;50;44;25.0;20670.0;126.1363636;25.0;6306.818182;268505.0798;19980.0;0
31;ProLiteX;TP750-2SPX25J;7.4;750;25;50;39;37.5;20460.0;142.3076923;37.5;7115.384615000001;271260.9971;19980.0;0
32;ProLiteX;TP750-3SPX25J;11.1;750;25;50;57;37.5;30690.0;146.05263159999998;37.5;7302.631579000001;271260.9971;29970.0;0
33;ProLiteX;TP910-2SPX25J;7.4;910;25;50;47;22.7;23075.0;143.2765957;45.5;7163.829787000001;291830.9859;24242.4;0
