;TYPE;Model;Imax_A;Weight_g;Vmax_V;Pmax_W;Dominated
7;KOSMIK;Kosmik 200+ HV ;200;200;51.8;10360;0
8;YGE;YGE 7 S ;7;0.7;7.4;52;0
9;YGE;YGE 8 S ;8;4.9;11.1;89;0
10;YGE;YGE 12 S ;12;6;11.1;133;0
11;YGE;YGE 18 ;18;14;14.8;266;0
12;YGE;YGE 30 ;30;21;14.8;444;0
13;YGE;YGE 40 ;40;35;22.2;888;0
14;YGE;YGE 60 ;60;35;22.2;1332;0
18;YGE;YGE 160 FAI ;160;79;22.2;3552;0
19;YGE;YGE 60 HV ;60;49;44.4;2664;0
20;YGE;YGE 90 HV ;90;79;44.4;3996;0
21;YGE;YGE 150 HV FAI ;150;89;44.4;6660;0
22;YGE;YGE 200 HV FAI ;200;119;44.4;8880;0
25;SPIN OPTO;MasterSPIN 11 ;11;12;14.8;163;0
26;SPIN OPTO;MasterSPIN 22 ;22;18;14.8;326;0
27;SPIN OPTO;MasterSPIN 33 ;33;30;18.5;611;0
32;SPIN OPTO;MasterSPIN 48 Opto ;48;45;37;1776;0
33;SPIN OPTO;MasterSPIN 75 0pto ;75;55;37;2775;0
38;SPIN OPTO;MasterSPIN 220 Opto ;220;460;51.8;11396;0
39;SPIN OPTO;SPIN 11 ;11;12;14.8;163;0
41;SPIN OPTO;SPIN 33 ;33;32;18.5;611;0
45;SPIN OPTO;SPIN 44 OPTO ;44;35;22.2;977;0
46;SPIN OPTO;SPIN 66 OPTO ;70;45;22.2;1554;0
47;SPIN OPTO;SPIN 48 OPTO ;48;45;37;1776;0
48;SPIN OPTO;SPIN 75 OPTO ;75;55;37;2775;0
53;SPIN OPTO;SPIN 300 OPTO ;220;360;51.8;11396;0
