Product Name;Product Description;Product Code (SKU);Categories;Price ($);Status;Hub Diameter;Hub Thickness;Shaft Diameter;Weight;Diameter (INCHES);Pitch (INCHES);Diameter (METERS);Pitch (-);Color;UPC Code;Product Weight (NOT for Shipping Calculations) (LBS) ;Product Weight (NOT for Shipping Calculations) (grams) 
B4x3.3E-B4;"Quad-Copter Bundle (4x3.3E and 4x3.3EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
Use LPAR18SF or LPARM12SF adapter rings (optional)";LPB04033E-B4;Bundle (2 CW & 2 CCW), Black FPV, Black MR;4.96; ;0.50 in.;0.26 in.;5 mm;0.11 oz.;4;3.3;0.1016;0.825;Black;6.86661E+11;0.0276;12.5
4x4E-3-B4;"3 Blade
FPV Racing Bundle (4x4E-3 and 4x4EP-3)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LP304040E-B4;"Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only)";5.48; ;0.50 in.;0.26 in.;5 mm;0.14 oz.;4;4;0.1016;1;Grey;6.86661E+11;0.0352;16
B4x4E-3-B4;"3 Blade
FPV Racing Bundle (4x4E-3 and 4x4EP-3)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPB304040E-B4;Bundle (2 CW & 2 CCW), 3 Bladed (Electric Only), Black FPV, Black MR;5.48; ;0.50 in.;0.26 in.;5 mm;0.14 oz.;4;4;0.1016;1;Black;6.86661E+11;0.0352;16
B4x4.5E-B4;"Bullnose - FPV Racing Bundle (4x4.5E and 4x4.5EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LPB04045E-B4;Bundle (2 CW & 2 CCW), Black FPV, Black MR;4.96; ;0.50 in.;0.28 in.;5 mm;0.11 oz.;4;4.5;0.1016;1.125;Black;6.86661E+11;0.0276;12.5
4.1x4.1E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04141E;Multi Rotor (Electric Only), Speed 400 (Electric Only);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.1;4.1;0.10414;1;Grey;6.86661E+11;0.0069;3.1
4.1x4.1EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04141EP;Multi Rotor (Electric Only), Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.25; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.1;4.1;0.10414;1;Grey;6.86661E+11;0.0069;3.1
4.2x2 ;"020 Sport
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04220;Sport;2.3;;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.2;2;0.10668;0.476190476;Grey;6.86661E+11;0.0069;3.1
4.2x4 ;"049 Free Flight
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04240;Free Flight, Sport;2.3; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.2;4;0.10668;0.952380952;Grey;6.86661E+11;0.0069;3.1
4.4x4;"049 Free Flight
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04440;Free Flight, Sport;2.3; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.4;4;0.11176;0.909090909;Grey;6.86661E+11;0.0088;4
4.5x3.5;"1/2A Pylon / Combat
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04535;Pylon Combat, 1/2A Pylon Combat;2.3; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.5;3.5;0.1143;0.777777778;Grey;6.86661E+11;0.0088;4
