TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Max_burst_current_A;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Weight_kg;Volume_cm3;Energy_kJ;Capacity_As;n_series;n_parallel
TATTU;TATTU;11.1;1300;45;90;58.5;121.2605042;117.0;10913.44538;242049.1143;0.119;59.616;51.948;4680.0;1;1
TATTU;TATTU;11.1;1550;45;90;69.75;134.4140625;139.5;12097.26563;270314.8567;0.128;63.648;61.938;5580.0;1;1
TATTU;TATTU;11.1;1800;45;90;81.0;128.0769231;162.0;11526.92308;312031.4843;0.156;64.032;71.928;6480.0;1;1
TATTU;TATTU;11.1;2300;45;90;103.5;142.6256983;207.0;12836.31285;334907.5167;0.179;76.23;91.908;8280.0;1;1
TATTU;TATTU;11.1;1050;45;90;47.25;137.1176471;94.5;12340.58824;260878.3239;0.085;44.676;41.958;3780.0;1;1
TATTU;TATTU;14.8;1050;45;90;47.25;129.5;94.5;11655.0;253424.6575;0.12;61.32;55.944;3780.0;1;1
TATTU;TATTU;14.8;1500;45;90;67.5;124.7191011;135.0;11224.7191;263070.5788;0.178;84.388;79.92;5400.0;1;1
TATTU;TATTU;14.8;1800;45;90;81.0;131.8811881;162.0;11869.30693;308676.307;0.202;86.304;95.904;6480.0;1;1
TATTU;TATTU;14.8;2300;45;90;103.5;151.9642857;207.0;13676.78571;338239.0076;0.224;100.6388951;122.544;8280.0;1;1
TATTU;TATTU;14.8;3700;45;90;166.5;228.1666667;333.0;20535.0;363728.1471;0.24;150.552;197.136;13320.0;1;1
TATTU;TATTU;14.8;1300;45;90;58.5;124.9350649;117.0;11244.15584;294153.6204;0.154;65.408;69.264;4680.0;1;1
GENS ACE;GENS ACE;22.2;3300;60;120;198.0;144.7826087;396.0;17373.91304;289363.9208;0.506;253.176;263.736;11880.0;1;1
GENS ACE;GENS ACE;22.2;4000;60;120;240.0;139.6226415;480.0;16754.71698;297525.3666;0.636;298.4619463;319.68;14400.0;1;1
GENS ACE;GENS ACE;22.2;5000;60;120;300.0;147.0198675;600.0;17642.38411;310716.2791;0.755;357.2390874;399.6;18000.0;1;1
