;TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Pvol_Wh_m3;Energy_J;Dominated
9;TATTU;TATTU;14.8;3700;45;90;240;166.5;150552;228.1666667;333;20535;363728.1471;197136;0
29;ProLiteX;TP500-2SPX25J;7.4;500;25;50;30;25;14310;123.3333333;25;6166.666667;258560.4472;13320;0
30;ProLiteX;TP500-3SPX25J;11.1;500;25;50;44;25;20670;126.1363636;25;6306.818182;268505.0798;19980;0
31;ProLiteX;TP750-2SPX25J;7.4;750;25;50;39;37.5;20460;142.3076923;37.5;7115.384615;271260.9971;19980;0
32;ProLiteX;TP750-3SPX25J;11.1;750;25;50;57;37.5;30690;146.0526316;37.5;7302.631579;271260.9971;29970;0
33;ProLiteX;TP910-2SPX25J;7.4;910;25;50;47;22.7;23075;143.2765957;45.5;7163.829787;291830.9859;24242.4;0
35;ProLiteX;TP1350-2SPX25J;7.4;1350;25;50;61;67.5;30056;163.7704918;67.5;8188.52459;332379.5582;35964;0
36;ProLiteX;TP1350-3SPX25J;11.1;1350;25;50;94;67.5;46240;159.4148936;67.5;7970.744681;324070.0692;53946;0
37;ProLiteX;TP1350-2SPX25;7.4;1350;25;50;64;67.5;30056;156.09375;67.5;7804.6875;332379.5582;35964;0
38;ProLiteX;TP1350-3SPX25;11.1;1350;25;50;95;67.5;46240;157.7368421;67.5;7886.842105;324070.0692;53946;0
42;ProLiteX;TP2200-3SPX25;11.1;2200;25;50;151;110;74970;161.7218543;110;8086.092715;325730.2921;87912;0
43;ProLiteX;TP2200-4SPX25;14.8;2200;25;50;197;110;96390;165.2791878;110;8263.959391;337794.377;117216;0
44;ProLiteX;TP2800-2SPX25;7.4;2800;25;50;123;140;58956;168.4552846;140;8422.764228;351448.5379;74592;0
45;ProLiteX;TP2800-3SPX25;11.1;2800;25;50;181;140;83232;171.7127072;140;8585.635359;373414.0715;111888;0
46;ProLiteX;TP2800-3SPX25EJ;11.1;2800;25;50;181;140;83232;171.7127072;140;8585.635359;373414.0715;111888;0
47;ProLiteX;TP2800-3SPX25XJ;11.1;2800;25;50;181;140;83232;171.7127072;140;8585.635359;373414.0715;111888;0
48;ProLiteX;TP2800-4SPX25;14.8;2800;25;50;234;140;110976;177.0940171;140;8854.700855;373414.0715;149184;0
50;ProLiteX;TP2800-6SPX25;22.2;2800;25;50;351;140;166464;177.0940171;140;8854.700855;373414.0715;223776;0
55;ProLiteX;TP3400-6SPX25;22.2;3400;25;50;478;170;220590;157.9079498;170;7895.39749;342173.2626;271728;0
56;ProLiteX;TP3400-6SPX25L;22.2;3400;25;50;488;170;221407;154.6721311;170;7733.606557;340910.6306;271728;0
58;ProLiteX;TP3400-8SPX25;29.6;3400;25;50;611;170;290250;164.7135843;170;8235.679214;346735.5728;362304;0
60;ProLiteX;TP4000-2SPX25;7.4;4000;25;50;156;200;79560;189.7435897;200;9487.179487;372046.2544;106560;0
63;ProLiteX;TP4000-5SPX25;18.5;4000;25;50;435;200;185640;170.1149425;200;8505.747126;398620.9869;266400;0
64;ProLiteX;TP4000-6SPX25L;22.2;4000;25;50;536;200;222768;165.6716418;200;8283.58209;398620.9869;319680;0
65;ProLiteX;TP4000-7SPX25;25.9;4000;25;50;614;200;259896;168.7296417;200;8436.482085;398620.9869;372960;0
66;ProLiteX;TP4000-8SPX25;29.6;4000;25;50;702;200;297024;168.6609687;200;8433.048433;398620.9869;426240;0
67;ProLiteX;TP4000-8SPX25L;29.6;4000;25;50;712;200;297024;166.2921348;200;8314.606742;398620.9869;426240;0
68;ProLiteX;TP4000-9SPX25;33.3;4000;25;50;790;200;328848;168.6075949;200;8430.379747;405050.3576;479520;0
69;ProLiteX;TP4000-10SPX25;37;4000;25;50;877;200;371280;168.7571266;200;8437.856328;398620.9869;532800;0
70;ProLiteX;TP4000-10SPX25L;37;4000;25;50;887;200;371280;166.854566;200;8342.728298;398620.9869;532800;0
71;ProLiteX;TP4000-6SPX25;22.2;4000;25;50;536;200;222768;165.6716418;200;8283.58209;398620.9869;319680;0
72;ProLiteX;TP4400-2SPX25;7.4;4400;25;50;205;220;93568;158.8292683;220;7941.463415;347982.2161;117216;0
76;ProLiteX;TP4400-6SPX25;22.2;4400;25;50;601;220;280704;162.5291181;220;8126.455907;347982.2161;351648;0
77;ProLiteX;TP4400-7SPX25;25.9;4400;25;50;701;220;321640;162.5677603;220;8128.388017;354309.1655;410256;0
81;ProLiteX;TP4400-10SPX25;37;4400;25;50;994;220;456144;163.7826962;220;8189.134809;356904.8371;586080;0
83;ProLiteX;TP5000-3SPX25;11.1;5000;25;50;349;250;163744;159.025788;250;7951.289398;338943.717;199800;0
84;ProLiteX;TP5000-4SPX25;14.8;5000;25;50;465;250;216376;159.1397849;250;7956.989247;341997.264;266400;0
85;ProLiteX;TP5000-5SPX25;18.5;5000;25;50;574;250;269008;161.1498258;250;8057.491289;343855.9448;333000;0
90;ProLiteX;TP5000-9SPX25;33.3;5000;25;50;1046;250;479536;159.1778203;250;7958.891013;347210.6369;599400;0
