;TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Weight_kg;Volume_cm3;Energy_kJ;Capacity_As;n_series;n_parallel;Dominated
16;KOKAM;KOKAM SLPB526495;3.7;3300;2;3;182.238806;9.9;546.7164179;367078.3897;0.067;33.26265;43.956;11880.0;1;1;0
18;KOKAM;KOKAM SLPB776495;3.7;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.102;48.04605;70.596;19080.0;1;1;0
25;ProLiteX;TP500-2SPX25J;7.4;500;25;50;123.3333333;25.0;6166.666667;258560.4472;0.03;14.31;13.32;1800.0;1;1;0
27;ProLiteX;TP750-2SPX25J;7.4;750;25;50;142.3076923;37.5;7115.384615;271260.9971;0.039;20.46;19.98;2700.0;1;1;0
28;ProLiteX;TP750-3SPX25J;11.1;750;25;50;146.0526316;37.5;7302.631579;271260.9971;0.057;30.69;29.97;2700.0;1;1;0
29;ProLiteX;TP910-2SPX25J;7.4;910;25;50;143.2765957;45.5;7163.829787;291830.9859;0.047;23.075;24.2424;3276.0;1;1;0
31;ProLiteX;TP1350-2SPX25J;7.4;1350;25;50;163.7704918;67.5;8188.52459;332379.5582;0.061;30.056;35.964;4860.0;1;1;0
32;ProLiteX;TP1350-3SPX25J;11.1;1350;25;50;159.4148936;67.5;7970.744681;324070.0692;0.094;46.24;53.946;4860.0;1;1;0
39;ProLiteX;TP2200-4SPX25;14.8;2200;25;50;165.2791878;110.0;8263.959391;337794.377;0.197;96.39;117.216;7920.0;1;1;0
40;ProLiteX;TP2800-2SPX25;7.4;2800;25;50;168.4552846;140.0;8422.764228;351448.5379;0.123;58.956;74.592;10080.0;1;1;0
41;ProLiteX;TP2800-3SPX25;11.1;2800;25;50;171.7127072;140.0;8585.635359;373414.0715;0.181;83.232;111.888;10080.0;1;1;0
42;ProLiteX;TP2800-3SPX25EJ;11.1;2800;25;50;171.7127072;140.0;8585.635359;373414.0715;0.181;83.232;111.888;10080.0;1;1;0
43;ProLiteX;TP2800-3SPX25XJ;11.1;2800;25;50;171.7127072;140.0;8585.635359;373414.0715;0.181;83.232;111.888;10080.0;1;1;0
44;ProLiteX;TP2800-4SPX25;14.8;2800;25;50;177.0940171;140.0;8854.700855;373414.0715;0.234;110.976;149.184;10080.0;1;1;0
45;ProLiteX;TP2800-5SPX25;18.5;2800;25;50;178.6206897;140.0;8931.034483;373414.0715;0.29;138.72;186.48;10080.0;1;1;0
46;ProLiteX;TP2800-6SPX25;22.2;2800;25;50;177.0940171;140.0;8854.700855;373414.0715;0.351;166.464;223.776;10080.0;1;1;0
56;ProLiteX;TP4000-2SPX25;7.4;4000;25;50;189.7435897;200.0;9487.179487;372046.2544;0.156;79.56;106.56;14400.0;1;1;0
89;ProLiteX;TP6000-2SPX25;7.4;6000;25;50;173.4375;300.0;8671.875;376475.3765;0.256;117.936;159.84;21600.0;1;1;0
90;ProLiteX;TP6000-3SPX25;11.1;6000;25;50;179.0322581;300.0;8951.612903;376475.3765;0.372;176.904;239.76;21600.0;1;1;0
103;RAMPAGE;TP325-1SR70J;3.7;325;70;140;100.2083333;45.5;14029.16667;213777.7778;0.012;5.625;4.329;1170.0;1;1;0
104;RAMPAGE;TP325-2SR70B;7.4;325;70;140;104.5652174;45.5;14639.13043;194343.4343;0.023;12.375;8.658;1170.0;1;1;0
143;KOKAM;KOKAM SLPB526495;3.7;6600;2;3;182.238806;19.8;546.7164179;367078.3897;0.134;66.5253;87.912;23760.0;1;2;0
145;KOKAM;KOKAM SLPB776495;3.7;10600;2;3;192.254902;31.8;576.7647059;408150.0977;0.204;96.0921;141.192;38160.0;1;2;0
154;ProLiteX;TP910-2SPX25J;7.4;1820;25;50;143.2765957;91.0;7163.829787;291830.9859;0.094;46.15;48.4848;6552.0;1;2;0
156;ProLiteX;TP1350-2SPX25J;7.4;2700;25;50;163.7704918;135.0;8188.52459;332379.5582;0.122;60.112;71.928;9720.0;1;2;0
170;ProLiteX;TP2800-5SPX25;18.5;5600;25;50;178.6206897;280.0;8931.034483;373414.0715;0.58;277.44;372.96;20160.0;1;2;0
171;ProLiteX;TP2800-6SPX25;22.2;5600;25;50;177.0940171;280.0;8854.700855;373414.0715;0.702;332.928;447.552;20160.0;1;2;0
181;ProLiteX;TP4000-2SPX25;7.4;8000;25;50;189.7435897;400.0;9487.179487;372046.2544;0.312;159.12;213.12;28800.0;1;2;0
268;KOKAM;KOKAM SLPB526495;3.7;9900;2;3;182.238806;29.700000000000003;546.7164179;367078.3897;0.201;99.78795;131.868;35640.0;1;3;0
270;KOKAM;KOKAM SLPB776495;3.7;15900;2;3;192.254902;47.7;576.7647059;408150.0977;0.306;144.13815;211.788;57240.0;1;3;0
306;ProLiteX;TP4000-2SPX25;7.4;12000;25;50;189.7435897;600.0;9487.179487;372046.2544;0.4679999999999999;238.68;319.68;43200.0;1;3;0
393;KOKAM;KOKAM SLPB526495;3.7;13200;2;3;182.238806;39.6;546.7164179;367078.3897;0.268;133.0506;175.824;47520.0;1;4;0
395;KOKAM;KOKAM SLPB776495;3.7;21200;2;3;192.254902;63.6;576.7647059;408150.0977;0.408;192.1842;282.384;76320.0;1;4;0
431;ProLiteX;TP4000-2SPX25;7.4;16000;25;50;189.7435897;800.0;9487.179487;372046.2544;0.624;318.24;426.24;57600.0;1;4;0
518;KOKAM;KOKAM SLPB526495;3.7;16500;2;3;182.238806;49.5;546.7164179;367078.3897;0.335;166.31325;219.78000000000003;59400.0;1;5;0
520;KOKAM;KOKAM SLPB776495;3.7;26500;2;3;192.254902;79.5;576.7647059;408150.0977;0.51;240.23025;352.98;95400.0;1;5;0
556;ProLiteX;TP4000-2SPX25;7.4;20000;25;50;189.7435897;1000.0;9487.179487;372046.2544;0.78;397.8;532.8;72000.0;1;5;0
643;KOKAM;KOKAM SLPB526495;3.7;19800;2;3;182.238806;59.400000000000006;546.7164179;367078.3897;0.402;199.5759;263.736;71280.0;1;6;0
645;KOKAM;KOKAM SLPB776495;3.7;31800;2;3;192.254902;95.4;576.7647059;408150.0977;0.612;288.2763;423.576;114480.0;1;6;0
681;ProLiteX;TP4000-2SPX25;7.4;24000;25;50;189.7435897;1200.0;9487.179487;372046.2544;0.936;477.36;639.36;86400.0;1;6;0
770;KOKAM;KOKAM SLPB776495;3.7;37100;2;3;192.254902;111.3;576.7647059;408150.0977;0.714;336.32235000000003;494.172;133560.0;1;7;0
806;ProLiteX;TP4000-2SPX25;7.4;28000;25;50;189.7435897;1400.0;9487.179487;372046.2544;1.092;556.9200000000001;745.9200000000001;100800.0;1;7;0
895;KOKAM;KOKAM SLPB776495;3.7;42400;2;3;192.254902;127.2;576.7647059;408150.0977;0.816;384.3684;564.768;152640.0;1;8;0
931;ProLiteX;TP4000-2SPX25;7.4;32000;25;50;189.7435897;1600.0;9487.179487;372046.2544;1.248;636.48;852.48;115200.0;1;8;0
