;TYPE;Model;BETA;J;V;Pe;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*;Dominated
240;APC MR;APC MR;0.45;0;0;0;0.1154;0.0485;0.39;2.458;3.675;10;0.110371465;0.040801743;0
241;APC MR;APC MR;0.45;0.02;2.2;0.0563;0.1139;0.048;0.386;2.432;3.628;10;0.109002636;0.041500353;0
242;APC MR;APC MR;0.45;0.05;4.5;0.1122;0.1122;0.0474;0.382;2.405;3.574;10;0.106725111;0.042363018;0
243;APC MR;APC MR;0.45;0.07;6.7;0.1674;0.1103;0.0469;0.377;2.378;3.514;10;0.105058714;0.042814628;0
244;APC MR;APC MR;0.45;0.09;9;0.2214;0.1081;0.0464;0.373;2.35;3.444;10;0.103275056;0.043167438;0
245;APC MR;APC MR;0.45;0.12;11.2;0.274;0.1057;0.0458;0.368;2.321;3.367;10;0.100381916;0.043511403;0
246;APC MR;APC MR;0.45;0.14;13.5;0.3245;0.1031;0.0452;0.364;2.292;3.283;10;0.098309526;0.043617213;0
247;APC MR;APC MR;0.45;0.17;15.7;0.3725;0.1002;0.0447;0.359;2.265;3.192;10;0.094988022;0.043590678;0
248;APC MR;APC MR;0.45;0.19;18;0.4178;0.0971;0.0441;0.355;2.238;3.094;10;0.092633213;0.043449488;0
480;APC MR;APC MR;0.55;0;0;0;0.1226;0.0563;0.33;2.313;3.164;10;0.127861335;0.052405808;0
481;APC MR;APC MR;0.55;0.03;2.3;0.0593;0.1217;0.0564;0.331;2.316;3.14;10;0.125779918;0.053643143;0
482;APC MR;APC MR;0.55;0.05;4.7;0.1174;0.1206;0.0565;0.331;2.319;3.112;10;0.124261674;0.054344533;0
483;APC MR;APC MR;0.55;0.08;7;0.1742;0.1194;0.0565;0.331;2.321;3.08;10;0.121790882;0.055211368;0
484;APC MR;APC MR;0.55;0.11;9.4;0.2293;0.118;0.0566;0.332;2.323;3.044;10;0.11909101;0.055855903;0
510;APC MR;APC MR;0.55;0;0;0;0.1241;0.0643;0.517;3.26;3.953;10;0.127861335;0.052405808;0
511;APC MR;APC MR;0.55;0.03;2.6;0.0534;0.1232;0.0635;0.511;3.219;3.923;10;0.125779918;0.053643143;0
512;APC MR;APC MR;0.55;0.06;5.2;0.1071;0.1221;0.0627;0.504;3.178;3.888;10;0.12346374;0.054658178;0
513;APC MR;APC MR;0.55;0.08;7.8;0.1611;0.1208;0.0619;0.498;3.138;3.848;10;0.121790882;0.055211368;0
514;APC MR;APC MR;0.55;0.11;10.4;0.2149;0.1193;0.0611;0.492;3.098;3.802;10;0.11909101;0.055855903;0
515;APC MR;APC MR;0.55;0.14;13;0.2683;0.1176;0.0603;0.485;3.058;3.748;10;0.116165465;0.056278138;0
