TYPE;Model;BETA;J_adv-ratio;V_mph;Efficiency;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*
APC MR;APC MR;0.45;0;0;0;0.1102;0.0428;0.003;0.087;0.14;10;0.110371465;0.040801743
APC MR;APC MR;0.45;0.02;0.5;0.0621;0.1086;0.0432;0.003;0.088;0.138;10;0.109002636;0.041500353
APC MR;APC MR;0.45;0.05;0.9;0.1212;0.1068;0.0435;0.003;0.088;0.136;10;0.106725111;0.042363018
APC MR;APC MR;0.45;0.07;1.4;0.1774;0.105;0.0439;0.003;0.089;0.134;10;0.105058714;0.042814628
APC MR;APC MR;0.45;0.1;1.9;0.2305;0.103;0.0442;0.003;0.09;0.131;10;0.10233957;0.043306793
APC MR;APC MR;0.45;0.12;2.3;0.2806;0.1009;0.0444;0.003;0.09;0.129;10;0.100381916;0.043511403
APC MR;APC MR;0.45;0.15;2.8;0.3278;0.0985;0.0445;0.003;0.09;0.125;10;0.097230621;0.043633068
APC MR;APC MR;0.45;0.17;3.3;0.372;0.0958;0.0445;0.003;0.09;0.122;10;0.094988022;0.043590678
APC MR;APC MR;0.45;0.2;3.7;0.4132;0.093;0.0445;0.003;0.09;0.118;10;0.091414045;0.043341843
APC MR;APC MR;0.45;0.22;4.2;0.4512;0.0899;0.0443;0.003;0.09;0.115;10;0.088892814;0.043052453
APC MR;APC MR;0.45;0.25;4.7;0.4863;0.0867;0.044;0.003;0.089;0.11;10;0.084905621;0.042433118
APC MR;APC MR;0.45;0.27;5.1;0.5183;0.0832;0.0436;0.003;0.088;0.106;10;0.082112069;0.041896728
APC MR;APC MR;0.45;0.3;5.6;0.5472;0.0796;0.0431;0.003;0.087;0.101;10;0.07772113;0.040906893
APC MR;APC MR;0.45;0.32;6.1;0.5732;0.0759;0.0425;0.003;0.086;0.097;10;0.074661569;0.040123503
APC MR;APC MR;0.45;0.35;6.5;0.5964;0.072;0.0418;0.003;0.085;0.092;10;0.069876351;0.038763168
APC MR;APC MR;0.45;0.37;7;0.617;0.0681;0.0409;0.003;0.083;0.087;10;0.066557094;0.037732778
APC MR;APC MR;0.45;0.4;7.5;0.6351;0.0638;0.0397;0.003;0.081;0.081;10;0.061387065;0.036001943
APC MR;APC MR;0.45;0.42;8;0.6505;0.0594;0.0383;0.002;0.078;0.076;10;0.057814423;0.034724553
APC MR;APC MR;0.45;0.44;8.4;0.6635;0.0548;0.0367;0.002;0.075;0.07;10;0.054142195;0.033348363
APC MR;APC MR;0.45;0.47;8.9;0.674;0.0501;0.0349;0.002;0.071;0.064;10;0.048449337;0.031098828
APC MR;APC MR;0.45;0.49;9.4;0.6823;0.0456;0.033;0.002;0.067;0.058;10;0.044532561;0.029475638
APC MR;APC MR;0.45;0.52;9.8;0.6891;0.0417;0.0314;0.002;0.064;0.053;10;0.038477615;0.026855603
APC MR;APC MR;0.45;0.54;10.3;0.6928;0.0376;0.0295;0.002;0.06;0.048;10;0.034322603;0.024985413
APC MR;APC MR;0.45;0.57;10.8;0.6906;0.033;0.0271;0.002;0.055;0.042;10;0.027915038;0.021994878
APC MR;APC MR;0.45;0.59;11.2;0.6799;0.0278;0.0242;0.002;0.049;0.035;10;0.023528102;0.019877688
APC MR;APC MR;0.45;0.62;11.7;0.6561;0.0224;0.0211;0.001;0.043;0.029;10;0.016777385;0.016516653
APC MR;APC MR;0.45;0.64;12.2;0.6085;0.017;0.0179;0.001;0.036;0.022;10;0.012164837;0.014152463
APC MR;APC MR;0.45;0.67;12.6;0.5178;0.0114;0.0147;0.001;0.03;0.015;10;0.005080436;0.010420928
APC MR;APC MR;0.45;0.69;13.1;0.3462;0.0057;0.0114;0.001;0.023;0.007;10;0.000248589;0.007809738
APC MR;APC MR;0.45;0.72;13.6;0.0085;0.0001;0.0082;0.001;0.017;0;10;-0.007160027;0.003707703
APC MR;APC MR;0.45;0;0;0;0.1122;0.0441;0.01;0.201;0.322;10;0.110371465;0.040801743
APC MR;APC MR;0.45;0.02;0.7;0.0603;0.1107;0.0445;0.01;0.203;0.317;10;0.109002636;0.041500353
APC MR;APC MR;0.45;0.05;1.4;0.118;0.109;0.0449;0.01;0.205;0.313;10;0.106725111;0.042363018
APC MR;APC MR;0.45;0.07;2.1;0.1728;0.1072;0.0451;0.01;0.206;0.307;10;0.105058714;0.042814628
APC MR;APC MR;0.45;0.1;2.8;0.2249;0.1052;0.0454;0.01;0.207;0.302;10;0.10233957;0.043306793
APC MR;APC MR;0.45;0.12;3.4;0.2743;0.103;0.0455;0.01;0.208;0.295;10;0.100381916;0.043511403
APC MR;APC MR;0.45;0.15;4.1;0.3209;0.1005;0.0456;0.01;0.208;0.288;10;0.097230621;0.043633068
APC MR;APC MR;0.45;0.17;4.8;0.3646;0.0979;0.0456;0.01;0.208;0.281;10;0.094988022;0.043590678
APC MR;APC MR;0.45;0.19;5.5;0.4055;0.095;0.0454;0.01;0.207;0.272;10;0.092633213;0.043449488
APC MR;APC MR;0.45;0.22;6.2;0.4436;0.0919;0.0452;0.01;0.206;0.263;10;0.088892814;0.043052453
APC MR;APC MR;0.45;0.24;6.9;0.4787;0.0886;0.0449;0.01;0.205;0.254;10;0.086261896;0.042664263
APC MR;APC MR;0.45;0.27;7.6;0.5111;0.0851;0.0444;0.01;0.203;0.244;10;0.082112069;0.041896728
APC MR;APC MR;0.45;0.29;8.3;0.5404;0.0815;0.0439;0.01;0.2;0.234;10;0.079211356;0.041261538
APC MR;APC MR;0.45;0.32;9;0.5669;0.0777;0.0432;0.009;0.197;0.223;10;0.074661569;0.040123503
APC MR;APC MR;0.45;0.34;9.6;0.5907;0.0737;0.0424;0.009;0.193;0.211;10;0.071497373;0.039241313
APC MR;APC MR;0.45;0.36;10.3;0.6118;0.0697;0.0415;0.009;0.189;0.2;10;0.06822955;0.038260323
APC MR;APC MR;0.45;0.39;11;0.6303;0.0655;0.0404;0.009;0.184;0.188;10;0.063135725;0.036603588
APC MR;APC MR;0.45;0.41;11.7;0.6465;0.0613;0.0391;0.008;0.178;0.176;10;0.059613255;0.035375598
APC MR;APC MR;0.45;0.44;12.4;0.6602;0.0568;0.0376;0.008;0.172;0.163;10;0.054142195;0.033348363
APC MR;APC MR;0.45;0.46;13.1;0.6715;0.0523;0.0359;0.008;0.164;0.15;10;0.05037139;0.031873373
APC MR;APC MR;0.45;0.49;13.8;0.6803;0.0476;0.034;0.007;0.155;0.137;10;0.044532561;0.029475638
APC MR;APC MR;0.45;0.51;14.5;0.6864;0.0428;0.0317;0.007;0.145;0.123;10;0.040519733;0.027753648
APC MR;APC MR;0.45;0.53;15.2;0.689;0.0378;0.0293;0.006;0.134;0.108;10;0.036411863;0.025932858
APC MR;APC MR;0.45;0.56;15.8;0.6863;0.0327;0.0266;0.006;0.121;0.094;10;0.030074064;0.023016423
APC MR;APC MR;0.45;0.58;16.5;0.6761;0.0275;0.0237;0.005;0.108;0.079;10;0.025733008;0.020948633
APC MR;APC MR;0.45;0.61;17.2;0.6544;0.0222;0.0205;0.004;0.094;0.064;10;0.019050164;0.017661698
APC MR;APC MR;0.45;0.63;17.9;0.6099;0.0167;0.0173;0.004;0.079;0.048;10;0.014482234;0.015346908
APC MR;APC MR;0.45;0.65;18.6;0.523;0.0113;0.0141;0.003;0.064;0.032;10;0.009825321;0.012933318
APC MR;APC MR;0.45;0.68;19.3;0.3552;0.0057;0.0108;0.002;0.05;0.016;10;0.00267532;0.009127682
APC MR;APC MR;0.45;0.7;20;0.0018;0;0.0076;0.002;0.035;0;10;-0.00219963;0.006467093
APC MR;APC MR;0.45;0;0;0;0.1123;0.0442;0.023;0.358;0.572;10;0.110371465;0.040801743
APC MR;APC MR;0.45;0.02;0.9;0.0595;0.1109;0.0446;0.023;0.362;0.565;10;0.109002636;0.041500353
APC MR;APC MR;0.45;0.05;1.8;0.1163;0.1092;0.0449;0.023;0.364;0.557;10;0.106725111;0.042363018
APC MR;APC MR;0.45;0.07;2.7;0.1705;0.1074;0.0452;0.023;0.366;0.547;10;0.105058714;0.042814628
APC MR;APC MR;0.45;0.1;3.6;0.222;0.1053;0.0454;0.023;0.368;0.537;10;0.10233957;0.043306793
APC MR;APC MR;0.45;0.12;4.5;0.2709;0.1031;0.0455;0.023;0.369;0.525;10;0.100381916;0.043511403
APC MR;APC MR;0.45;0.14;5.4;0.3171;0.1006;0.0455;0.023;0.369;0.513;10;0.098309526;0.043617213
APC MR;APC MR;0.45;0.17;6.3;0.3606;0.098;0.0455;0.023;0.369;0.499;10;0.094988022;0.043590678
APC MR;APC MR;0.45;0.19;7.2;0.4012;0.0951;0.0453;0.023;0.368;0.485;10;0.092633213;0.043449488
APC MR;APC MR;0.45;0.22;8.1;0.4391;0.0921;0.0451;0.023;0.366;0.469;10;0.088892814;0.043052453
APC MR;APC MR;0.45;0.24;9.1;0.4742;0.0888;0.0448;0.023;0.363;0.453;10;0.086261896;0.042664263
APC MR;APC MR;0.45;0.26;10;0.5065;0.0853;0.0443;0.023;0.359;0.435;10;0.083522303;0.042177273
APC MR;APC MR;0.45;0.29;10.9;0.5359;0.0817;0.0437;0.023;0.355;0.416;10;0.079211356;0.041261538
APC MR;APC MR;0.45;0.31;11.8;0.5624;0.0779;0.0431;0.022;0.349;0.397;10;0.076204492;0.040527548
APC MR;APC MR;0.45;0.33;12.7;0.5862;0.074;0.0423;0.022;0.343;0.377;10;0.073092487;0.039694758
