,,,description,filename,unit,abbreviation,num_cfs
CML v4.8 2016 no LT,acidification no LT,"acidification (incl. fate, average Europe total, A&B) no LT",,LCIA_Implementation_3.9.xlsx,kg SO2-Eq,cml-v48-2016-no-ltaa.9326888b5dfc8ad763461e87dc5a0a9e,21
CML v4.8 2016 no LT,climate change no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,cml-v48-2016-no-ltcg.ef26e472ac5329eeba834f793ba181a9,149
CML v4.8 2016 no LT,ecotoxicity: freshwater no LT,freshwater aquatic ecotoxicity (FAETP inf) no LT,,LCIA_Implementation_3.9.xlsx,"kg 1,4-DCB-Eq",cml-v48-2016-no-ltef.7bcf2b54b0276df08edfbd557353fcec,692
CML v4.8 2016 no LT,ecotoxicity: marine no LT,marine aquatic ecotoxicity (MAETP inf) no LT,,LCIA_Implementation_3.9.xlsx,"kg 1,4-DCB-Eq",cml-v48-2016-no-ltem.a0375eb8cf5f50184aec734447fceb07,692
CML v4.8 2016 no LT,ecotoxicity: terrestrial no LT,terrestrial ecotoxicity (TETP inf) no LT,,LCIA_Implementation_3.9.xlsx,"kg 1,4-DCB-Eq",cml-v48-2016-no-ltet.6cdf31823baa518ac55b3a552853e260,692
CML v4.8 2016 no LT,energy resources: non-renewable no LT,abiotic depletion potential (ADP): fossil fuels no LT,,LCIA_Implementation_3.9.xlsx,megajoule,cml-v48-2016-no-ltea.e5a75f64df67c7a7d83e4165deef7bfc,5
CML v4.8 2016 no LT,eutrophication no LT,eutrophication (fate not incl.) no LT,,LCIA_Implementation_3.9.xlsx,kg PO4-Eq,cml-v48-2016-no-ltee.0760034aaafd25e8435d412d66977108,73
CML v4.8 2016 no LT,human toxicity no LT,human toxicity (HTP inf) no LT,,LCIA_Implementation_3.9.xlsx,"kg 1,4-DCB-Eq",cml-v48-2016-no-lthh.b4f403b8130c01a5348b7f43fc782454,686
CML v4.8 2016 no LT,material resources: metals/minerals no LT,abiotic depletion potential (ADP): elements (ultimate reserves) no LT,,LCIA_Implementation_3.9.xlsx,kg Sb-Eq,cml-v48-2016-no-ltma.05c512de653374fa57d4c1b96105aaa4,129
CML v4.8 2016 no LT,ozone depletion no LT,ozone layer depletion (ODP steady state) no LT,,LCIA_Implementation_3.9.xlsx,kg CFC-11-Eq,cml-v48-2016-no-ltoo.d43247522eec852758c4dc227e9773e9,64
CML v4.8 2016 no LT,photochemical oxidant formation no LT,photochemical oxidation (high NOx) no LT,,LCIA_Implementation_3.9.xlsx,kg ethylene-Eq,cml-v48-2016-no-ltpp.654348e86b17aa314d1324a109a9defe,252
CML v4.8 2016,acidification,"acidification (incl. fate, average Europe total, A&B)",,LCIA_Implementation_3.9.xlsx,kg SO2-Eq,cml-v48-2016aa.dabb63ec4fa65348da4d153bee4888b2,26
CML v4.8 2016,climate change,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,cml-v48-2016cg.231d6e8f8b1c199a47182515eba4032e,185
CML v4.8 2016,ecotoxicity: freshwater,freshwater aquatic ecotoxicity (FAETP inf),,LCIA_Implementation_3.9.xlsx,"kg 1,4-DCB-Eq",cml-v48-2016ef.803983b018c3cc9559cabea0ee94323f,800
CML v4.8 2016,ecotoxicity: marine,marine aquatic ecotoxicity (MAETP inf),,LCIA_Implementation_3.9.xlsx,"kg 1,4-DCB-Eq",cml-v48-2016em.b558064bea27501547a2577a72680581,800
CML v4.8 2016,ecotoxicity: terrestrial,terrestrial ecotoxicity (TETP inf),,LCIA_Implementation_3.9.xlsx,"kg 1,4-DCB-Eq",cml-v48-2016et.58a9c4f9714f0591bc0ed845bbf010a5,800
CML v4.8 2016,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,,LCIA_Implementation_3.9.xlsx,megajoule,cml-v48-2016ea.48bc7aa078213d04df81ded6e6235e42,5
CML v4.8 2016,eutrophication,eutrophication (fate not incl.),,LCIA_Implementation_3.9.xlsx,kg PO4-Eq,cml-v48-2016ee.8bb7e032343e9753f1863befc58e7244,87
CML v4.8 2016,human toxicity,human toxicity (HTP inf),,LCIA_Implementation_3.9.xlsx,"kg 1,4-DCB-Eq",cml-v48-2016hh.726cf7a04a5fc77b79782aa999e27899,796
CML v4.8 2016,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),,LCIA_Implementation_3.9.xlsx,kg Sb-Eq,cml-v48-2016ma.6d864f84e736749817c5887d65a92588,129
CML v4.8 2016,ozone depletion,ozone layer depletion (ODP steady state),,LCIA_Implementation_3.9.xlsx,kg CFC-11-Eq,cml-v48-2016oo.1c9d75a11947940de4b45037a96f3d91,80
CML v4.8 2016,photochemical oxidant formation,photochemical oxidation (high NOx),,LCIA_Implementation_3.9.xlsx,kg ethylene-Eq,cml-v48-2016pp.c31c567e0da047f9bf8e6859ccbc2bed,314
Crustal Scarcity Indicator 2020,material resources: metals/minerals,crustal scarcity potential (CSP),,LCIA_Implementation_3.9.xlsx,kg Si-Eq,crustal-scarcity-indicator-2020mc.9abeae126e151c80ad0f3b56584a5dc2,216
Cumulative Energy Demand (CED),energy resources: non-renewable,energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.711b20dfef4a9a07a4f4ad88500d1bfb,8
Cumulative Energy Demand (CED),"energy resources: non-renewable, biomass",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.3f25cbc26fbb68a36a95da2c84b8621d,1
Cumulative Energy Demand (CED),"energy resources: non-renewable, fossil",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.86ace9d80d465a7b866bc23257271425,6
Cumulative Energy Demand (CED),"energy resources: non-renewable, nuclear",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.54e1efe53242dc8f8a56c6f2c9f7e804,1
Cumulative Energy Demand (CED),energy resources: renewable,energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.acf98354aa38c0bed0fb32591f7e739f,5
Cumulative Energy Demand (CED),"energy resources: renewable, biomass",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.099420d32fa3457841724aba87ff2d19,1
Cumulative Energy Demand (CED),"energy resources: renewable, geothermal",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.733c853d4635303b8ae6fb5e91cac347,1
Cumulative Energy Demand (CED),"energy resources: renewable, geothermal, solar, wind",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.cf2069e2e31e1939a43785f274858b25,3
Cumulative Energy Demand (CED),"energy resources: renewable, solar",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.a3a892cb2e66b300694baa65d5b69a10,1
Cumulative Energy Demand (CED),"energy resources: renewable, water",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.644df24de258bc9ee29f2585ce58ef14,1
